X,Y,DCGISPLACE_NAMES_PTNAME,DCGISADDRESSES_PTADDRESS,DCGISADDRESSES_PTWARD,DCGISADDRESSES_PTSMD,DCGISADDRESSES_PTANC,MARVW_PLACE_NAME_CATEGORIESCATEGORY,DCGISPLACE_NAMES_PTSTATUS,DCGISPLACE_NAMES_PTPLACE_NAME_ID,DCGISPLACE_NAMES_PTMAR_ID,DCGISPLACE_NAMES_PTBEFORE_DATE,DCGISPLACE_NAMES_PTBEFORE_DATE_SOURCE,DCGISPLACE_NAMES_PTBEGIN_DATE,DCGISPLACE_NAMES_PTBEGIN_DATE_SOURCE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE_SOURCE,DCGISPLACE_NAMES_PTCREATED_DATE,DCGISPLACE_NAMES_PTLAST_EDITED_DATE,DCGISPLACE_NAMES_PTSE_ANNO_CAD_DATA,DCGISPLACE_NAMES_PTOBJECTID,DCGISADDRESSES_PTOBJECTID,DCGISADDRESSES_PTSE_ANNO_CAD_DATA
-8574440.46034669,4705635.79438741,NATIONAL MUSEUM OF AFRICAN ART,950 INDEPENDENCE AVENUE SW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,3078,293262,,,,,,,2005/08/12 16:06:07+00,,,23475787,167838200,
-8571078.29267432,4703502.33725909,NATIONAL MUSEUM OF UNITED STATES NAVY,736 SICARD STREET SE,Ward 8,SMD 8F01,ANC 8F,MUSEUM / ZOO,ACTIVE,15639,311896,,,,,,,2016/07/18 10:24:04+00,,,23474921,167930522,
-8575853.07344155,4707362.36799264,DECATUR HOUSE MUSEUM,748 JACKSON PLACE NW,Ward 2,SMD 2A07,ANC 2A,MUSEUM / ZOO,ACTIVE,10245,293257,,,,,,,2011/06/07 14:25:55+00,,,23474963,167859107,
-8576872.42502716,4711765.11634759,NATIONAL ZOO ADMINISTRATION,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,10044,309257,,,,,,,2010/12/08 13:22:23+00,,,23477108,167935617,
-8574155.02181048,4707733.67494891,HISTORICAL SOCIETY OF WASHINGTON DC,801 K STREET NW,Ward 2,SMD 2G05,ANC 2G,MUSEUM / ZOO,ACTIVE,12532,238956,,,,,,,2012/09/14 13:30:31+00,,,23475154,167899000,
-8570980.14689537,4706189.61899055,SHOOK MUSEUM FOUNDATION,802 MASSACHUSETTS AVENUE NE,Ward 6,SMD 6A07,ANC 6A,MUSEUM / ZOO,ACTIVE,15647,79669,,,,,,,2016/07/18 10:41:31+00,,,23475179,167926086,
-8570998.74355635,4703735.96533046,US NAVY MUSEUM,805 KIDDER BREESE STREET SE,Ward 8,SMD 8F01,ANC 8F,MUSEUM / ZOO,ACTIVE,12765,291854,,,,,,,2013/03/18 10:49:56+00,,,23475223,167869747,
-8574492.40597619,4706109.31830331,NATIONAL MUSEUM OF NATURAL HISTORY,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,2992,293188,,,,,,,2005/08/12 16:06:07+00,,,23476261,167933156,
-8573453.01037494,4706104.64025159,NATIONAL GALLERY OF ART - EAST BUILDING,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,3015,293209,,,,,,,2005/08/12 16:06:07+00,,,23476262,167917237,
-8573818.78866036,4706114.03639433,NATIONAL GALLERY OF ART - WEST BUILDING,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,3062,293249,,,,,,,2005/08/12 16:06:07+00,,,23476263,167917236,
-8574155.02679648,4706113.30003286,NATIONAL GALLERY OF ART SCULPTURE GARDEN ICE SKATING RINK,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,3073,293258,,,,,,,2005/08/12 16:06:07+00,2006/12/27 12:33:11+00,,23476264,167950487,
-8574155.02679648,4706113.30003286,NATIONAL GALLERY OF ART SCULPTURE GARDEN,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,3074,293258,,,,,,,2005/08/12 16:06:07+00,2006/12/27 12:33:11+00,,23476265,167950487,
-8574158.2891381,4707098.41478871,NATIONAL PORTRAIT GALLERY,,Ward 2,SMD 2C01,ANC 2C,MUSEUM / ZOO,ACTIVE,3440,294248,,,,,,,2005/08/15 11:45:59+00,,,23476344,167917185,
-8574158.2891381,4707098.41478871,DONALD W. REYNOLDS CENTER FOR AMERICAN ART AND PORTRAITURE,,Ward 2,SMD 2C01,ANC 2C,MUSEUM / ZOO,ACTIVE,10141,294248,,,,,,,2011/03/29 09:51:08+00,,,23476345,167917185,
-8574158.2891381,4707098.41478871,SMITHSONIAN AMERICAN ART MUSEUM,,Ward 2,SMD 2C01,ANC 2C,MUSEUM / ZOO,ACTIVE,12539,294248,,,,,,,2012/09/14 14:08:13+00,,,23476346,167917185,
-8572868.29935382,4704429.55488339,RUBELL MUSEUM DC,65 I STREET SW,Ward 6,SMD 6D02,ANC 6D,MUSEUM / ZOO,ACTIVE,23042,294466,,,,,,,2023/01/31 14:19:44+00,,,23474447,167915312,
-8573807.41176873,4705661.1778624,NATIONAL AIR AND SPACE MUSEUM,655 JEFFERSON DRIVE SW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,17353,330977,,,,,,,2020/01/24 08:58:18+00,,,23474472,167935521,
-8573807.41176873,4705661.1778624,ALBERT EINSTEIN PLANETARIUM,655 JEFFERSON DRIVE SW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,17354,330977,,,,,,,2020/01/24 08:58:19+00,,,23474473,167935521,
-8573807.41176873,4705661.1778624,AIR AND SPACE MUSEUM,655 JEFFERSON DRIVE SW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,17355,330977,,,,,,,2020/01/24 08:59:01+00,,,23474474,167935521,
-8574645.35855111,4705680.63341066,FREER GALLERY OF ART,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,11246,294417,,,,,,,2011/10/11 12:54:11+00,,,23476474,167916874,
-8574157.00207296,4705700.45441914,HIRSHHORN MUSEUM AND SCULPTURE GARDEN,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,3638,294428,,,,,,,2005/08/15 11:45:59+00,,,23476483,167917239,
-8573457.87287122,4705678.04799363,NATIONAL MUSEUM OF THE AMERICAN INDIAN,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,3639,294429,,,,,,,2005/08/15 11:45:59+00,,,23476484,167916617,
-8576616.58027806,4709345.4197048,LAOGAI MUSEUM,1734 20TH STREET NW,Ward 2,SMD 2B01,ANC 2B,MUSEUM / ZOO,ACTIVE,12533,285655,,,,,,,2012/09/14 13:33:51+00,,,23466466,167838271,
-8576215.94872255,4706835.57847487,OCTAGON HOUSE,1799 NEW YORK AVENUE NW,Ward 2,SMD 2A01,ANC 2A,MUSEUM / ZOO,ACTIVE,141,218490,,,,,,,2005/05/12 00:00:00+00,,,23466598,167946106,
-8576289.09832591,4709191.5533408,NATIONAL MUSEUM OF AMERICAN JEWISH MILITARY HISTORY,1811 R STREET NW,Ward 2,SMD 2B03,ANC 2B,MUSEUM / ZOO,ACTIVE,2949,243292,,,,,,,2005/08/12 12:56:53+00,,,23466703,167913728,
-8576816.6159152,4709004.02415756,PHILLIPS COLLECTION,1600 21ST STREET NW,Ward 2,SMD 2B02,ANC 2B,MUSEUM / ZOO,ACTIVE,7577,243333,,,,,,,2006/08/13 16:48:39+00,2008/10/17 18:34:54+00,,23465905,167881533,
-8576816.6159152,4709004.02415756,THE PHILLIPS COLLECTION,1600 21ST STREET NW,Ward 2,SMD 2B02,ANC 2B,MUSEUM / ZOO,ACTIVE,15352,243333,,,,,,,2016/05/12 10:26:06+00,,,23465906,167881533,
-8575742.72158303,4708121.77249472,NATIONAL GEOGRAPHIC SOCIETY HEADQUARTERS,1600 M STREET NW,Ward 2,SMD 2C02,ANC 2C,MUSEUM / ZOO,ACTIVE,7595,302627,,,,,,,2006/08/25 12:38:05+00,,,23465919,167917071,
-8576828.27583461,4709039.9229891,PHILLIPS COLLECTION,1612 21ST STREET NW,Ward 2,SMD 2B02,ANC 2B,MUSEUM / ZOO,ACTIVE,8392,302497,,,,,,,2007/05/10 10:21:54+00,,,23465981,167952846,
-8576048.88539861,4707165.43364269,THE PEOPLES HOUSE A WHITE HOUSE EXPERIENCE,1700 PENNSYLVANIA AVENUE NW,Ward 2,SMD 2A07,ANC 2A,MUSEUM / ZOO,ACTIVE,23675,218408,,,,,,,2024/10/22 15:45:06+00,,,23466242,167939168,
-8576048.88539861,4707165.43364269,THE PEOPLES HOUSE,1700 PENNSYLVANIA AVENUE NW,Ward 2,SMD 2A07,ANC 2A,MUSEUM / ZOO,ACTIVE,23676,218408,,,,,,,2024/10/22 15:45:06+00,,,23466243,167939168,
