X,Y,DCGISPLACE_NAMES_PTNAME,DCGISADDRESSES_PTADDRESS,DCGISADDRESSES_PTWARD,DCGISADDRESSES_PTSMD,DCGISADDRESSES_PTANC,MARVW_PLACE_NAME_CATEGORIESCATEGORY,DCGISPLACE_NAMES_PTSTATUS,DCGISPLACE_NAMES_PTPLACE_NAME_ID,DCGISPLACE_NAMES_PTMAR_ID,DCGISPLACE_NAMES_PTBEFORE_DATE,DCGISPLACE_NAMES_PTBEFORE_DATE_SOURCE,DCGISPLACE_NAMES_PTBEGIN_DATE,DCGISPLACE_NAMES_PTBEGIN_DATE_SOURCE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE_SOURCE,DCGISPLACE_NAMES_PTCREATED_DATE,DCGISPLACE_NAMES_PTLAST_EDITED_DATE,DCGISPLACE_NAMES_PTSE_ANNO_CAD_DATA,DCGISPLACE_NAMES_PTOBJECTID,DCGISADDRESSES_PTOBJECTID,DCGISADDRESSES_PTSE_ANNO_CAD_DATA
-8574470.41696857,4706900.1588271,FORDS THEATRE TICKET OFFICE,517 10TH STREET NW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,15064,297633,,,,,,,2015/12/10 15:00:52+00,,,23473482,167914909,
-8574592.75071221,4705722.14665313,S. DILLON RIPLEY CENTER,1100 JEFFERSON DRIVE SW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,9688,308882,,,,,,,2010/09/07 10:09:40+00,,,23463419,167913243,
-8575842.085306,4708096.17750317,NATIONAL GEOGRAPHIC MUSEUM,1145 17TH STREET NW,Ward 2,SMD 2C02,ANC 2C,MUSEUM / ZOO,ACTIVE,9695,290192,,,,,,,2010/09/08 08:34:05+00,,,23463685,167846310,
-8575842.085306,4708096.17750317,NATIONAL GEOGRAPHIC SOCIETY EXPLORERS HALL,1145 17TH STREET NW,Ward 2,SMD 2C02,ANC 2C,MUSEUM / ZOO,ACTIVE,17273,290192,,,,,,,2019/07/26 13:08:19+00,,,23463686,167846310,
-8572665.16596888,4707089.4561986,NATIONAL GUARD MEMORIAL MUSEUM,1 MASSACHUSETTS AVENUE NW,Ward 6,SMD 6E07,ANC 6E,MUSEUM / ZOO,ACTIVE,12766,238009,,,,,,,2013/03/18 10:54:38+00,,,23462898,167913541,
-8575243.95856936,4705449.46441305,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,100 RAOUL WALLENBERG PLACE SW,Ward 2,SMD 2A01,ANC 2A,MUSEUM / ZOO,ACTIVE,2990,293186,,,,,,,2005/08/12 16:06:07+00,,,23462958,167893578,
-8574490.43156156,4705752.6844731,SMITHSONIAN INSTITUTION - CASTLE,1000 JEFFERSON DRIVE SW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,2991,293187,,,,,,,2005/08/12 16:06:07+00,,,23462970,167915595,
-8574490.43156156,4705752.6844731,THE CASTLE,1000 JEFFERSON DRIVE SW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,9829,293187,,,,,,,2010/10/14 10:23:54+00,,,23462971,167915595,
-8574514.46332222,4707007.64584806,MADAME TUSSAUDS,1001 F STREET NW,Ward 2,SMD 2C01,ANC 2C,MUSEUM / ZOO,ACTIVE,10282,243407,,,,,,,2011/06/27 15:03:10+00,,,23462990,167936675,
-8574544.77603364,4705635.63574545,ARTHUR M. SACKLER GALLERY,1050 INDEPENDENCE AVENUE SW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,2995,293191,,,,,,,2005/08/12 16:06:07+00,,,23463281,167915596,
-8576840.40550581,4706616.46609649,NATIONAL MUSEUM OF AMERICAN DIPLOMACY,330 21ST STREET NW,Ward 2,SMD 2A01,ANC 2A,MUSEUM / ZOO,ACTIVE,23586,343294,,,,,,,2024/09/24 10:29:59+00,,,23470839,167823845,
-8573554.84059514,4707037.49946587,NATIONAL BUILDING MUSEUM,401 F STREET NW,Ward 6,SMD 6E08,ANC 6E,MUSEUM / ZOO,ACTIVE,73,242924,,,,,,,2005/05/12 00:00:00+00,,,23472285,167874945,
-8574391.64092624,4708271.71940134,DC ALLEY MUSEUM,38 BLAGDEN ALLEY NW,Ward 2,SMD 2G04,ANC 2G,MUSEUM / ZOO,ACTIVE,23822,308581,,,,,,,2025/06/09 17:15:02+00,,,23471834,167959974,
-8572147.51218561,4712749.77236442,NATIONAL SHRINE OF SAINT JOHN PAUL II,3900 HAREWOOD ROAD NE,Ward 5,SMD 5A05,ANC 5A,MUSEUM / ZOO,ACTIVE,13070,288031,,,,,,,2014/04/29 14:46:05+00,,,23472047,167957601,
-8577819.95119113,4708911.20848013,DUMBARTON HOUSE,2715 Q STREET NW,Ward 2,SMD 2E07,ANC 2E,MUSEUM / ZOO,ACTIVE,2955,273151,,,,,,,2005/08/12 12:56:54+00,,,23469307,167845804,
-8581280.80130703,4712968.02880144,AMERICAN UNIVERSITY MUSEUM,3500 NEBRASKA AVENUE NW,Ward 3,SMD 3E07,ANC 3E,MUSEUM / ZOO,ACTIVE,12529,223996,,,,,,,2012/09/14 13:24:06+00,,,23471224,167876541,
-8573508.81036756,4705189.03462221,MUSEUM OF THE BIBLE,400 4TH STREET SW,Ward 6,SMD 6D02,ANC 6D,MUSEUM / ZOO,ACTIVE,16029,311513,,,,,,,2017/11/06 07:20:34+00,,,23472195,167936127,
-8573508.81036756,4705189.03462221,BIBLE MUSEUM,400 4TH STREET SW,Ward 6,SMD 6D02,ANC 6D,MUSEUM / ZOO,ACTIVE,16030,311513,,,,,,,2017/11/06 07:20:34+00,,,23472196,167936127,
-8568249.25758635,4709132.89093684,THE NATIONAL BONSAI & PENJING MUSEUM,3501 NEW YORK AVENUE NE,Ward 5,SMD 5C04,ANC 5C,MUSEUM / ZOO,ACTIVE,15638,293238,,,,,,,2016/07/18 10:17:19+00,,,23471237,167848080,
-8574178.89203445,4711186.7897156,THE HISTORY OF CANNABIS MUSEUM,2822 GEORGIA AVENUE NW,Ward 1,SMD 1E05,ANC 1E,MUSEUM / ZOO,ACTIVE,16698,232586,,,,,,,2018/10/16 14:02:46+00,,,23469515,167877966,
-8575612.37299311,4711013.18184633,MEXICAN CULTURAL INSTITUTE,2829 16TH STREET NW,Ward 1,SMD 1A01,ANC 1A,MUSEUM / ZOO,ACTIVE,2965,235878,,,,,,,2005/08/12 12:56:54+00,,,23469527,167928479,
-8581483.84608912,4710492.29742479,KREEGER MUSEUM,2401 FOXHALL ROAD NW,Ward 3,SMD 3D07,ANC 3D,MUSEUM / ZOO,ACTIVE,2948,271251,,,,,,,2005/08/12 12:56:53+00,,,23468645,167855214,
-8573830.85489323,4710832.38212242,HOWARD UNIVERSITY GALLERY OF ART,2449 6TH STREET NW,Ward 1,SMD 1E05,ANC 1E,MUSEUM / ZOO,ACTIVE,15354,311626,,,,,,,2016/05/17 10:37:00+00,,,23468782,167961019,
-8577654.36103911,4711737.62059412,NATIONAL ZOO,3001 CONNECTICUT AVENUE NW,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,3039,293230,,,,,,,2005/08/12 16:06:07+00,,,23469764,167906040,
-8577654.36103911,4711737.62059412,NATIONAL ZOO VISITOR CENTER,3001 CONNECTICUT AVENUE NW,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7153,293230,,,,,,,2006/05/14 03:29:05+00,,,23469765,167906040,
-8577654.36103911,4711737.62059412,SMITHSONIAN NATIONAL ZOOLOGICAL PARK,3001 CONNECTICUT AVENUE NW,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,11250,293230,,,,,,,2011/10/12 13:41:19+00,,,23469766,167906040,
-8576840.12628767,4711471.64711949,NATIONAL ZOO SPEEDWELL FOUNDATION CONSERVATION CAROUSEL,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,16187,317392,,,,,,,2018/01/31 13:04:55+00,,,23477537,167826998,
-8576867.18781568,4709105.83609192,INTERNATIONAL ARTS & ARTISTS,9 HILLYER COURT NW,Ward 2,SMD 2B02,ANC 2B,MUSEUM / ZOO,ACTIVE,15645,279975,,,,,,,2016/07/18 10:39:00+00,,,23475549,167917111,
-8574443.57352626,4705066.17172542,INTERNATIONAL SPY MUSEUM,700 L'ENFANT PLAZA SW,Ward 6,SMD 6D01,ANC 6D,MUSEUM / ZOO,ACTIVE,16922,317008,,,,,,,2019/05/13 07:21:26+00,,,23474576,167961714,
-8574443.57352626,4705066.17172542,SPY MUSEUM,700 L'ENFANT PLAZA SW,Ward 6,SMD 6D01,ANC 6D,MUSEUM / ZOO,ACTIVE,16923,317008,,,,,,,2019/05/13 07:21:26+00,,,23474577,167961714,
-8574154.49137566,4706332.36835796,NATIONAL ARCHIVES,700 PENNSYLVANIA AVENUE NW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,12536,293251,,,,,,,2012/09/14 13:47:15+00,,,23474582,167952478,
-8576767.92268723,4707186.31413424,GEORGE WASHINGTON UNIVERSITY MUSEUM,701 21ST STREET NW,Ward 2,SMD 2A07,ANC 2A,MUSEUM / ZOO,ACTIVE,14004,311648,,,,,,,2014/11/03 09:01:09+00,,,23474593,167931160,
-8576767.92268723,4707186.31413424,THE TEXTILE MUSEUM,701 21ST STREET NW,Ward 2,SMD 2A07,ANC 2A,MUSEUM / ZOO,ACTIVE,16027,311648,,,,,,,2017/11/06 07:14:57+00,,,23474594,167931160,
-8575477.99380389,4707584.04885759,VICTIMS OF COMMUNISM MUSEUM,900 15TH STREET NW,Ward 2,SMD 2C02,ANC 2C,MUSEUM / ZOO,ACTIVE,23415,279976,,,,,,,2024/03/07 15:02:45+00,,,23475563,167846198,
-8574327.69733333,4705666.93875065,ARTS AND INDUSTRIES BUILDING,900 JEFFERSON DRIVE SW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,3076,293260,,,,,,,2005/08/12 16:06:07+00,,,23475579,167860638,
-8577602.78562734,4711842.33966253,NATIONAL ZOO CHEETAH CONSERVATION STATION,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7116,301361,,,,,,,2006/05/14 03:15:10+00,,,23476568,167917823,
-8577564.06097211,4711881.28095521,NATIONAL ZOO ZEBRAS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7117,301362,,,,,,,2006/05/14 03:15:10+00,,,23476569,167916125,
-8577527.87403546,4711913.19504338,NATIONAL ZOO KANGAROOS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7118,301363,,,,,,,2006/05/14 03:15:10+00,,,23476570,167915767,
-8577481.46714738,4711811.5237777,NATIONAL ZOO FUJIFILM GIANT PANDA HABITAT,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7119,301364,,,,,,,2006/05/14 03:15:10+00,,,23476571,167951387,
-8577466.21341836,4711853.90574045,NATIONAL ZOO PANDA CAFE,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7120,301365,,,,,,,2006/05/14 03:15:10+00,,,23476572,167930799,
-8577452.06079135,4711555.39798744,NATIONAL ZOO GREAT FLIGHT EXHIBIT,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7121,301366,,,,,,,2006/05/14 03:15:10+00,,,23476573,167915763,
-8577446.55892691,4711924.08386124,NATIONAL ZOO RESTROOMS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7122,301367,,,,,,,2006/05/14 03:15:10+00,,,23476574,167936373,
-8577377.25919853,4711932.06465598,NATIONAL ZOO PANDA PAVILION,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7123,301368,,,,,,,2006/05/14 03:15:10+00,,,23476575,167952845,
-8577384.77505541,4711646.65217491,NATIONAL ZOO WETLANDS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7124,301369,,,,,,,2006/05/14 03:15:10+00,,,23476576,167915766,
-8577384.26853405,4711862.88646881,NATIONAL ZOO GIRAFFES,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7125,301370,,,,,,,2006/05/14 03:15:10+00,,,23476577,167916136,
-8577374.58477033,4711584.78192401,NATIONAL ZOO BIRD HOUSE,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7126,301371,,,,,,,2006/05/14 03:15:10+00,,,23476578,167951218,
-8577296.56392139,4711811.90024237,NATIONAL ZOO ELEPHANT HOUSE,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7127,301372,,,,,,,2006/05/14 03:15:10+00,,,23476579,167916139,
-8577272.55151686,4711712.36918472,NATIONAL ZOO RESTROOMS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7128,301373,,,,,,,2006/05/14 03:15:10+00,,,23476580,167915759,
-8577264.16649727,4711802.35323663,NATIONAL ZOO HIPPOPOTAMUS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7129,301374,,,,,,,2006/05/14 03:15:10+00,,,23476581,167916137,
-8577219.00332126,4711692.03134203,NATIONAL ZOO GOLDEN LION TAMARINS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7130,301375,,,,,,,2006/05/14 03:15:10+00,,,23476582,167915764,
-8577153.55849009,4711679.94998135,NATIONAL ZOO OTTERS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7131,301376,,,,,,,2006/05/14 03:15:10+00,,,23476583,167915765,
-8577114.13875152,4711622.55549901,NATIONAL ZOO BALD EAGLES,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7132,301377,,,,,,,2006/05/14 03:15:10+00,,,23476584,167950838,
-8577093.71069064,4711428.03253503,NATIONAL ZOO SLOTH BEARS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7133,301378,,,,,,,2006/05/14 03:15:10+00,,,23476585,167922174,
-8577091.92939904,4711648.72315417,NATIONAL ZOO MEXICAN WOLVES,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7134,301379,,,,,,,2006/05/14 03:15:10+00,,,23476586,167915760,
-8577082.9853483,4711561.34103769,NATIONAL ZOO SEALS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7135,301380,,,,,,,2006/05/14 03:15:10+00,,,23476587,167916416,
-8577025.94869696,4711714.56693748,NATIONAL ZOO SMALL MAMMAL HOUSE,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7136,301381,,,,,,,2006/05/14 03:15:10+00,,,23476588,167915761,
-8576980.0588276,4711535.24091053,NATIONAL ZOO GIBBON RIDGE,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7137,301382,,,,,,,2006/05/14 03:15:10+00,,,23476589,167916369,
-8576970.20399003,4711642.40747943,NATIONAL ZOO GREAT APE HOUSE,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7138,301383,,,,,,,2006/05/14 03:15:10+00,,,23476590,167916370,
-8576946.94411104,4711355.09895889,NATIONAL ZOO AMAZONIA,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7139,301384,,,,,,,2006/05/14 03:15:10+00,,,23476591,167916064,
-8576899.99495367,4711503.39149168,NATIONAL ZOO LEMUR ISLAND,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7140,301385,,,,,,,2006/05/14 03:15:10+00,,,23476592,167916126,
-8576882.29969407,4711669.24102085,NATIONAL ZOO KOMODO DRAGONS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7141,301386,,,,,,,2006/05/14 03:15:11+00,,,23476593,167916065,
-8576875.0414022,4711362.48428576,NATIONAL ZOO POLICE,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7142,301387,,,,,,,2006/05/14 03:15:11+00,,,23476594,167916138,
-8576879.100889,4711640.54755388,NATIONAL ZOO GORILLA GROVE,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7143,301388,,,,,,,2006/05/14 03:15:11+00,,,23476595,167917743,
-8576875.91823274,4711618.22223577,NATIONAL ZOO REPTILE DISCOVERY CENTER,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7144,301389,,,,,,,2006/05/14 03:15:11+00,,,23476596,167950837,
-8576825.57580809,4711312.08231322,NATIONAL ZOO MANE RESTURANT,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7145,301390,,,,,,,2006/05/14 03:15:11+00,,,23476597,167916066,
-8576803.40721422,4711443.48710288,NATIONAL ZOO LIONS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7146,301391,,,,,,,2006/05/14 03:15:11+00,,,23476598,167930800,
-8576792.6683286,4711557.66557567,NATIONAL ZOO THINK TANK,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7147,301392,,,,,,,2006/05/14 03:15:11+00,,,23476599,167930801,
-8576757.06840927,4711280.20070218,NATIONAL ZOO PICNIC PAVILION,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7148,301393,,,,,,,2006/05/14 03:15:11+00,,,23476600,167826630,
-8576737.33956772,4711439.6923337,NATIONAL ZOO TIGERS,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7149,301394,,,,,,,2006/05/14 03:15:11+00,,,23476601,167930802,
-8576735.96136347,4711226.66473957,NATIONAL ZOO KIDS' FARM,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7150,301395,,,,,,,2006/05/14 03:15:11+00,,,23476602,167915762,
-8574974.396466,4705949.97627189,NATIONAL MUSEUM OF AMERICAN HISTORY GSI KIOSK,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,7248,301620,,,,,,,2006/06/02 15:40:37+00,,,23476621,167952496,
-8574954.33786129,4705979.30639324,NATIONAL MUSEUM OF AMERICAN HISTORY TOURMOBILE KIOSK,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,7249,301621,,,,,,,2006/06/02 15:40:37+00,,,23476622,167819851,
-8574092.37746439,4706563.11717724,NAVAL HERITAGE CENTER,701 PENNSYLVANIA AVENUE NW,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,9828,279889,,,,,,,2010/10/14 10:17:37+00,,,23474614,167892893,
-8574863.2213269,4707662.37970388,PLANET WORD,925 13TH STREET NW,Ward 2,SMD 2C01,ANC 2C,MUSEUM / ZOO,ACTIVE,17702,240926,,,,,,,2021/10/07 12:46:14+00,,,23475724,167921882,
-8574337.10683236,4707357.87895902,MUSEUM OF ILLUSIONS,927 H STREET NW,Ward 2,SMD 2C04,ANC 2C,MUSEUM / ZOO,ACTIVE,23012,331068,,,,,,,2022/11/16 14:26:49+00,,,23475737,167935667,
-8574814.37447755,4706065.48027382,NATIONAL MUSUEM OF AMERICAN HISTORY ANNEX,,Ward 2,SMD 2C03,ANC 2C,MUSEUM / ZOO,ACTIVE,7616,302663,,,,,,,2006/09/01 12:50:04+00,,,23476701,167916873,
-8577627.74870356,4711654.34805825,NATIONAL ZOO ASIA TRAIL,,Ward 3,SMD 3C03,ANC 3C,MUSEUM / ZOO,ACTIVE,7738,303040,,,,,,,2006/10/23 15:27:41+00,,,23476706,167930871,
-8571062.16517255,4712059.77605539,THE STUDIOS AT BROOKLAND ARTS WALK,716 MONROE STREET NE,Ward 5,SMD 5F02,ANC 5F,MUSEUM / ZOO,ACTIVE,23821,309744,,,,,,,2025/06/09 17:09:30+00,,,23474758,167920389,
-8573781.40508438,4707230.31932494,GERMAN AMERICAN HERITAGE MUSEUM,719 6TH STREET NW,Ward 2,SMD 2C01,ANC 2C,MUSEUM / ZOO,ACTIVE,12764,238949,,,,,,,2013/03/18 10:47:54+00,,,23474784,167832087,
